,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
166,"jsoup: Java HTML Parser, with best of DOM, CSS, and jquery",jhy/jsoup,442430,Java,jsoup,153,2976,7132,
167,A powerful Android Dynamic Component Framework.,alibaba/atlas,83398100,Java,atlas,66,78689,7117,
168,安卓学习笔记,GcsSloop/AndroidNote,49030451,Java,AndroidNote,40,7032,7114,
169,"The IK Analysis plugin integrates Lucene IK analyzer into elasticsearch, support customized dictionary.",medcl/elasticsearch-analysis-ik,2993595,Java,elasticsearch-analysis-ik,203,7573,7086,
170,A fast dependency injector for Android and Java.,square/dagger,5279091,Java,dagger,61,6834,7051,
171,"A RecyclerView(advanced and flexible version of ListView in Android) with refreshing,loading more,animation and many other features.",cymcsg/UltimateRecyclerView,29946464,Java,UltimateRecyclerView,184,7107,7026,
172,Learning RxJava for Android by example,kaushikgopal/RxJava-Android-Samples,22132512,Java,RxJava-Android-Samples,10,1171,7014,
173,"Bootstrap style widgets for Android, with Glyph Icons",Bearded-Hen/Android-Bootstrap,14046563,Java,Android-Bootstrap,30,11507,7006,
174,🏗 Build container images for your Java applications.,GoogleContainerTools/jib,118497841,Java,jib,98,9321,6989,
175,A Java API for generating .java source files.,square/javapoet,7961991,Java,javapoet,77,1753,6975,
176,Lifecycle handling APIs for Android apps using RxJava,trello/RxLifecycle,39385621,Java,RxLifecycle,3,788,6932,
177,国内外为数不多致力于极致体验的超强全自研跨平台(windows/android/iOS)流媒体内核，通过模块化自由组合，支持实时RTMP推流、RTSP推流、RTMP播放器、RTSP播放器、录像、多路流媒体转发、音视频导播、动态视频合成、音频混音、直播互动、内置轻量级RTSP服务等，比快更快，业界真正靠谱的超低延迟直播SDK(1秒内，低延迟模式下200~400ms)。,daniulive/SmarterStreaming,54783462,Java,SmarterStreaming,2,4957927,6822,
178,Annotation-triggered method call logging for your debug builds.,JakeWharton/hugo,14681168,Java,hugo,54,201,6820,
179,⭐⭐⭐⭐秒杀系统设计与实现.互联网工程师进阶与分析🙋🐓,qiurunze123/miaosha,148736243,Java,miaosha,2,65437,6816,
180,:rocket: Ultimate Android Reference - Your Road to Become a Better Android Developer,aritraroy/UltimateAndroidReference,87780098,Java,UltimateAndroidReference,1,556,6794,
181,"A fast build system that encourages the creation of small, reusable modules over a variety of platforms and languages.",facebook/buck,9504214,Java,buck,479,1104100,6765,
